province,price per kWh
Alberta,25.8
British Columbia,11.4
Manitoba,10.2
New Brunswick,13.9
Newfoundland & Labrador,14.8
Nova Scotia,18.3
Northwest Territories,41
Nunavut,35.4
Ontario,14.1
Prince Edward Island,18.4
Quebec,7.8
Saskatchewan,19.9
Yukon Territory,18.7
