Province,Municipality,Month,South-facing with vertical (90 degrees) tilt,South-facing with latitude tilt,South-facing with tilt=latitude+15 degrees,South-facing with tilt=latitude-15 degrees,2-axis tracking,Horizontal (0 degree),address,latitude,longitude
Alberta,Acadia Valley,Annual,3.85,4.95,4.71,4.94,7.09,3.73,"Acadia Valley, Alberta",51.1586763,-110.210332
Alberta,Acme,Annual,3.72,4.76,4.53,4.76,6.77,3.62,"Acme, Alberta",51.4977819,-113.5137213
Alberta,Airdrie,Annual,3.66,4.7,4.47,4.7,6.67,3.61,"Airdrie, Alberta",51.28597,-114.01062
Alberta,Alberta Beach,Annual,3.52,4.44,4.21,4.46,6.35,3.42,"Alberta Beach, Alberta",53.6745894,-114.3572266
Alberta,Alder Flats,Annual,3.47,4.41,4.18,4.42,6.28,3.44,"Alder Flats, Alberta",52.9317561,-114.9590715
Alberta,Alix,Annual,3.69,4.67,4.44,4.67,6.65,3.54,"Alix, Alberta",52.394015350000004,-113.18644600248962
Alberta,Alliance,Annual,3.74,4.74,4.5,4.74,6.78,3.57,"Alliance, Alberta",52.4335554,-111.7832364
Alberta,Altario,Annual,3.81,4.86,4.62,4.85,6.97,3.65,"Altario, Alberta",51.9174069,-110.1617563
Alberta,Amisk,Annual,3.73,4.72,4.49,4.73,6.78,3.56,"Amisk, Alberta",52.5646576,-111.0591824
Alberta,Andrew,Annual,3.63,4.56,4.32,4.57,6.55,3.45,"Andrew, Alberta",53.8788769,-112.3307526
Alberta,Anzac,Annual,3.49,4.3,4.07,4.32,6.31,3.25,"Anzac, Alberta",56.4525903,-111.0482383
Alberta,Ardmore,Annual,3.62,4.53,4.3,4.54,6.58,3.43,"Ardmore, Alberta",54.332222,-110.477222
Alberta,Arrowwood,Annual,3.75,4.83,4.6,4.83,6.88,3.69,"Arrowwood, Alberta",50.7379976,-113.1507475
Alberta,Ashmont,Annual,3.61,4.52,4.29,4.53,6.53,3.43,"Ashmont, Alberta",54.129722,-111.568056
Alberta,Assumption,Annual,3.5,4.23,3.98,4.26,6.21,3.05,"Assumption, Alberta",58.6987054,-118.6850308
Alberta,Athabasca,Annual,3.58,4.47,4.23,4.48,6.45,3.38,"Athabasca, Alberta",54.7740629,-112.9256435
Alberta,Banff,Annual,3.42,4.48,4.23,4.5,6.39,3.59,"Banff, Alberta",51.175076,-115.5720773
Alberta,Barnwell,Annual,3.76,4.92,4.67,4.91,7.01,3.78,"Barnwell, Alberta",49.7595798,-112.2622938
Alberta,Barrhead,Annual,3.52,4.43,4.19,4.44,6.34,3.39,"Barrhead, Alberta",54.1688675,-114.4747952
Alberta,Bashaw,Annual,3.69,4.67,4.44,4.67,6.65,3.53,"Bashaw, Alberta",52.583333,-112.966667
Alberta,Bassano,Annual,3.8,4.9,4.66,4.9,6.99,3.72,"Bassano, Alberta",50.7878642,-112.4658831
Alberta,Bawlf,Annual,3.7,4.67,4.43,4.67,6.67,3.52,"Bawlf, Alberta",52.9188843,-112.4612154
Alberta,Beaumont,Annual,3.61,4.55,4.32,4.56,6.49,3.46,"Beaumont, Alberta",53.3525496,-113.4151434
Alberta,Beaverlodge,Annual,3.45,4.31,4.06,4.33,6.17,3.23,"Beaverlodge, Alberta",55.2106188,-119.4286716
Alberta,Beiseker,Annual,3.72,4.77,4.54,4.77,6.78,3.63,"Beiseker, Alberta",51.3852192,-113.5383076
Alberta,Bentley,Annual,3.59,4.56,4.33,4.57,6.48,3.5,"Bentley, Alberta",52.4685411,-114.04327724999999
Alberta,Berwyn,Annual,3.5,4.34,4.1,4.36,6.3,3.23,"Berwyn, Alberta",56.149407,-117.7329774
Alberta,Bezanson,Annual,3.46,4.32,4.08,4.34,6.22,3.25,"Bezanson, Alberta",55.2279313,-118.3623862
Alberta,Big Valley,Annual,3.74,4.76,4.52,4.76,6.78,3.59,"Big Valley, Alberta",52.0340881,-112.753278
Alberta,Bittern Lake,Annual,3.65,4.61,4.38,4.62,6.58,3.49,"Bittern Lake, Alberta",53.007472,-113.057853
Alberta,Black Diamond,Annual,3.58,4.64,4.41,4.64,6.58,3.62,"Black Diamond, Alberta",50.67757635,-114.23465429877588
Alberta,Blackfalds,Annual,3.63,4.61,4.38,4.62,6.56,3.53,"Blackfalds, Alberta",52.3865007,-113.7831285922449
Alberta,Blackfoot,Annual,3.7,4.67,4.43,4.67,6.74,3.51,"Blackfoot, Alberta",53.2885888,-110.174042
Alberta,Blackie,Annual,3.69,4.78,4.54,4.77,6.79,3.68,"Blackie, Alberta",50.6030153,-113.6177721
Alberta,Blairmore,Annual,3.45,4.58,4.34,4.59,6.53,3.68,"Blairmore, Alberta",49.6071847,-114.4381219
Alberta,Blue Ridge,Annual,3.47,4.36,4.13,4.38,6.25,3.36,"Blue Ridge, Alberta",54.122246,-115.3781467
Alberta,Bluesky,Annual,3.5,4.34,4.1,4.36,6.29,3.22,"Bluesky, Alberta",56.074687,-118.2366343
Alberta,Bluffton,Annual,3.54,4.5,4.27,4.51,6.4,3.47,"Bluffton, Alberta",52.7497903,-114.2922547
Alberta,Bodo,Annual,3.79,4.82,4.58,4.82,6.92,3.62,"Bodo, Alberta",52.15,-110.083333
Alberta,Bon Accord,Annual,3.6,4.52,4.29,4.54,6.48,3.43,"Bon Accord, Alberta",,
Alberta,Bonnyville,Annual,3.62,4.53,4.3,4.54,6.57,3.43,"Bonnyville, Alberta",54.4316317,-110.5826304
Alberta,Botha,Annual,3.72,4.72,4.49,4.72,6.73,3.56,"Botha, Alberta",52.3062118,-112.5248121
Alberta,Bow Island,Annual,3.82,4.98,4.74,4.98,7.12,3.8,"Bow Island, Alberta",49.8701679,-111.3789489
Alberta,Bowden,Annual,3.63,4.63,4.4,4.63,6.57,3.55,"Bowden, Alberta",51.9327066,-114.0345818
Alberta,Boyle,Annual,3.57,4.46,4.22,4.47,6.43,3.38,"Boyle, Alberta",54.590833,-112.809167
Alberta,Bragg Creek,Annual,3.52,4.56,4.33,4.56,6.47,3.58,"Bragg Creek, Alberta",50.9514689,-114.562894
Alberta,Breton,Annual,3.51,4.44,4.21,4.45,6.32,3.43,"Breton, Alberta",53.1126861,-114.4718836
Alberta,Brocket,Annual,3.57,4.7,4.46,4.7,6.69,3.72,"Brocket, Alberta",49.5463611,-113.75320090008805
Alberta,Brooks,Annual,3.82,4.94,4.7,4.93,7.05,3.75,"Brooks, Alberta",50.571027,-111.893005
Alberta,Brownvale,Annual,3.5,4.34,4.1,4.36,6.3,3.23,"Brownvale, Alberta",56.1285564,-117.892811
Alberta,Bruderheim,Annual,3.63,4.55,4.32,4.56,6.53,3.44,"Bruderheim, Alberta",53.8019065,-112.9281172
Alberta,BrÃ»lÃ©,Annual,3.34,4.28,4.03,4.3,6.1,3.37,"BrÃ»lÃ©, Alberta",-3.3808353,29.3677689
Alberta,Buck Lake,Annual,3.48,4.43,4.2,4.44,6.3,3.44,"Buck Lake, Alberta",52.9525222,-114.7903637
Alberta,Burdett,Annual,3.81,4.98,4.73,4.97,7.1,3.8,"Burdett, Alberta",49.832008,-111.5241495
Alberta,Busby,Annual,3.56,4.48,4.24,4.49,6.41,3.41,"Busby, Alberta",53.9493307,-113.8906552
