Province,Municipality,Month,South-facing with vertical (90 degrees) tilt,South-facing with latitude tilt,South-facing with tilt=latitude+15 degrees,South-facing with tilt=latitude-15 degrees,2-axis tracking,Horizontal (0 degree),address,latitude,longitude
Alberta,Cadomin,Annual,3.29,4.23,3.99,4.26,6.03,3.36,"Cadomin, Alberta",53.0338966,-117.3261071
Alberta,Cadotte Lake,Annual,3.5,4.33,4.08,4.35,6.31,3.23,"Cadotte Lake, Alberta",56.4703963,-116.395035
Alberta,Calahoo,Annual,3.56,4.49,4.26,4.5,6.42,3.43,"Calahoo, Alberta",53.7084868,-113.9589008
Alberta,Calgary,Annual,3.66,4.72,4.48,4.71,6.7,3.64,"Calgary, Alberta",51.0456064,-114.057541
Alberta,Calling Lake,Annual,3.54,4.4,4.16,4.42,6.36,3.33,"Calling Lake, Alberta",55.25,-113.2
Alberta,Calmar,Annual,3.58,4.52,4.29,4.53,6.44,3.45,"Calmar, Alberta",53.26126975,-113.81142591011297
Alberta,Camrose,Annual,3.67,4.63,4.4,4.63,6.61,3.5,"Camrose, Alberta",53.013131,-112.840576
Alberta,Canmore,Annual,3.44,4.49,4.25,4.51,6.4,3.58,"Canmore, Alberta",51.0866897,-115.3481135
Alberta,Carbon,Annual,3.76,4.81,4.57,4.81,6.85,3.65,"Carbon, Alberta",51.4859432,-113.151635
Alberta,Cardston,Annual,3.58,4.74,4.5,4.74,6.73,3.74,"Cardston, Alberta",49.1930694,-113.3092962
Alberta,Carmangay,Annual,3.72,4.84,4.61,4.84,6.9,3.74,"Carmangay, Alberta",50.129796,-113.106741
Alberta,Caroline,Annual,3.5,4.48,4.25,4.49,6.36,3.49,"Caroline, Alberta",52.0943034,-114.7391684
Alberta,Carseland,Annual,3.73,4.8,4.57,4.8,6.83,3.68,"Carseland, Alberta",50.8516661,-113.4684345
Alberta,Carstairs,Annual,3.64,4.66,4.43,4.66,6.62,3.58,"Carstairs, Alberta",51.5622066,-114.095172
Alberta,Carway,Annual,3.55,4.71,4.47,4.71,6.7,3.75,"Carway, Alberta",48.9989978,-113.3781531
Alberta,Castor,Annual,3.75,4.76,4.53,4.76,6.8,3.58,"Castor, Alberta",52.216667,-111.9
Alberta,Cayley,Annual,3.65,4.74,4.5,4.74,6.74,3.68,"Cayley, Alberta",50.45,-113.85
Alberta,Cereal,Annual,3.84,4.92,4.68,4.91,7.04,3.7,"Cereal, Alberta",51.416667,-110.8
Alberta,Champion,Annual,3.73,4.84,4.6,4.84,6.89,3.73,"Champion, Alberta",50.24272,-113.1514765
Alberta,Chauvin,Annual,3.77,4.77,4.53,4.77,6.87,3.58,"Chauvin, Alberta",52.6939247,-110.1438376
Alberta,Cherhill,Annual,3.49,4.41,4.17,4.42,6.3,3.39,"Cherhill, Alberta",53.8200935,-114.6799922
Alberta,Chestermere,Annual,3.7,4.76,4.52,4.75,6.76,3.65,"Chestermere, Alberta",51.0449653,-113.821414
Alberta,Chipewyan Lake,Annual,3.48,4.27,4.03,4.29,6.26,3.21,"Chipewyan Lake, Alberta",56.940386,-113.4752083
Alberta,Chipman,Annual,3.63,4.56,4.33,4.57,6.54,3.45,"Chipman, Alberta",53.698158,-112.6368628
Alberta,Clairmont,Annual,3.46,4.33,4.08,4.35,6.22,3.24,"Clairmont, Alberta",55.2623283,-118.7906709
Alberta,Claresholm,Annual,3.65,4.77,4.53,4.77,6.78,3.72,"Claresholm, Alberta",50.0239458,-113.5800285
Alberta,Clive,Annual,3.66,4.64,4.41,4.64,6.6,3.53,"Clive, Alberta",52.4771595,-113.4412968
Alberta,Clyde,Annual,3.58,4.49,4.25,4.5,6.44,3.41,"Clyde, Alberta",54.1463324,-113.6349041
Alberta,Coaldale,Annual,3.73,4.89,4.64,4.88,6.96,3.78,"Coaldale, Alberta",49.7256552,-112.6166534
Alberta,Coalhurst,Annual,3.71,4.85,4.61,4.85,6.91,3.76,"Coalhurst, Alberta",49.7468014,-112.9275821
Alberta,Cochrane,Annual,3.59,4.63,4.4,4.63,6.57,3.6,"Cochrane, Alberta",51.1874627,-114.4710708
Alberta,Cold Lake,Annual,3.62,4.53,4.29,4.54,6.58,3.42,"Cold Lake, Alberta",54.46046,-110.192871
Alberta,Coleman,Annual,3.43,4.56,4.32,4.57,6.5,3.67,"Coleman, Alberta",49.6377084,-114.4964358
Alberta,Colinton,Annual,3.58,4.47,4.23,4.48,6.44,3.39,"Colinton, Alberta",54.6207711,-113.25024
Alberta,Conklin,Annual,3.53,4.38,4.14,4.4,6.39,3.32,"Conklin, Alberta",55.6325,-111.082778
Alberta,Consort,Annual,3.79,4.83,4.59,4.83,6.93,3.63,"Consort, Alberta",52.0094273,-110.7752786
Alberta,Coronation,Annual,3.78,4.81,4.57,4.81,6.89,3.62,"Coronation, Alberta",52.0959823,-111.45955411596051
Alberta,Coutts,Annual,3.73,4.92,4.68,4.92,7.01,3.84,"Coutts, Alberta",49.0017307,-111.9638892
Alberta,Cowley,Annual,3.51,4.64,4.4,4.65,6.61,3.7,"Cowley, Alberta",49.56901,-114.073325
Alberta,Cremona,Annual,3.58,4.6,4.36,4.6,6.52,3.57,"Cremona, Alberta",51.5441741,-114.4881679
Alberta,Crossfield,Annual,3.65,4.68,4.45,4.68,6.64,3.59,"Crossfield, Alberta",51.4272738,-114.0309938
Alberta,Crowsnest Pass,Annual,3.43,4.55,4.31,4.56,6.49,3.66,"Crowsnest Pass, Alberta",49.6055374,-114.4971396
Alberta,Czar,Annual,3.75,4.75,4.52,4.75,6.82,3.58,"Czar, Alberta",52.4545715,-110.8259251
Alberta,Daysland,Annual,3.71,4.68,4.45,4.68,6.7,3.53,"Daysland, Alberta",52.8680426,-112.2656813
Alberta,DeBolt,Annual,3.45,4.32,4.08,4.34,6.22,3.26,"DeBolt, Alberta",55.2182039,-118.0199111
Alberta,Del Bonita,Annual,3.66,4.84,4.59,4.84,6.88,3.8,"Del Bonita, Alberta",49.0286431,-112.7887654
Alberta,Delburne,Annual,3.69,4.69,4.45,4.68,6.66,3.55,"Delburne, Alberta",52.2,-113.233333
Alberta,Delia,Annual,3.77,4.82,4.58,4.81,6.87,3.63,"Delia, Alberta",51.63088355,-112.37164254688759
Alberta,Derwent,Annual,3.66,4.61,4.37,4.61,6.65,3.48,"Derwent, Alberta",53.6543655,-110.9657492
Alberta,Devon,Annual,3.59,4.53,4.29,4.54,6.46,3.45,"Devon, Alberta",53.3633545,-113.7316992
Alberta,Dewberry,Annual,3.67,4.62,4.39,4.63,6.69,3.49,"Dewberry, Alberta",53.5882642,-110.5253687
Alberta,Didsbury,Annual,3.63,4.65,4.42,4.65,6.6,3.57,"Didsbury, Alberta",51.656763,-114.13756818322861
Alberta,Dixonville,Annual,3.5,4.32,4.07,4.34,6.28,3.2,"Dixonville, Alberta",56.53677,-117.669091
Alberta,Donalda,Annual,3.71,4.69,4.46,4.69,6.69,3.54,"Donalda, Alberta",52.5838892,-112.576918
Alberta,Donnelly,Annual,3.49,4.35,4.1,4.37,6.3,3.26,"Donnelly, Alberta",55.7269514,-117.1056724
Alberta,Drayton Valley,Annual,3.47,4.41,4.17,4.42,6.28,3.42,"Drayton Valley, Alberta",53.2174924,-114.9790101
Alberta,Drumheller,Annual,3.8,4.86,4.62,4.85,6.93,3.67,"Drumheller, Alberta",51.40159695,-112.61851667346612
Alberta,Duchess,Annual,3.82,4.94,4.7,4.93,7.05,3.74,"Duchess, Alberta",50.7305674,-111.9055311
Alberta,Dunmore,Annual,3.82,4.99,4.74,4.98,7.13,3.8,"Dunmore, Alberta",49.9696634,-110.5838753
Alberta,Eckville,Annual,3.55,4.53,4.3,4.53,6.43,3.5,"Eckville, Alberta",52.3632655,-114.3627303
Alberta,Edberg,Annual,3.69,4.66,4.43,4.66,6.65,3.52,"Edberg, Alberta",52.7858126,-112.7850016
Alberta,Edgerton,Annual,3.75,4.74,4.51,4.74,6.83,3.57,"Edgerton, Alberta",52.7615002,-110.4598579
Alberta,Edmonton,Annual,3.61,4.55,4.31,4.56,6.5,3.45,"Edmonton, Alberta",53.5462055,-113.491241
Alberta,Edson,Annual,3.41,4.33,4.09,4.35,6.18,3.37,"Edson, Alberta",53.5844359,-116.4482935
Alberta,Elizabeth Metis Settlement,Annual,3.64,4.56,4.33,4.57,6.62,3.45,"Elizabeth Metis Settlement, Alberta",54.15126035,-110.10435091797262
Alberta,Elk Point,Annual,3.64,4.57,4.34,4.58,6.61,3.46,"Elk Point, Alberta",53.8999368,-110.8999785
Alberta,Elnora,Annual,3.71,4.72,4.49,4.72,6.71,3.58,"Elnora, Alberta",51.9953983,-113.1988043
Alberta,Empress,Annual,3.85,4.97,4.73,4.96,7.12,3.75,"Empress, Alberta",50.9552765,-110.0084001
Alberta,Enchant,Annual,3.78,4.92,4.67,4.91,7.01,3.76,"Enchant, Alberta",50.166667,-112.416667
Alberta,Erskine,Annual,3.71,4.7,4.47,4.7,6.7,3.55,"Erskine, Alberta",52.3201878,-112.8820798
Alberta,Etzikom,Annual,3.79,4.98,4.74,4.98,7.11,3.83,"Etzikom, Alberta",49.4765282,-111.1059652
Alberta,Evansburg,Annual,3.47,4.39,4.16,4.4,6.26,3.4,"Evansburg, Alberta",53.6021742,-115.0139347
Alberta,Exshaw,Annual,3.45,4.49,4.25,4.5,6.39,3.57,"Exshaw, Alberta",51.060621,-115.1594958
Alberta,Fairview,Annual,3.5,4.34,4.09,4.36,6.28,3.22,"Fairview, Alberta",56.073947,-118.3797878
Alberta,Falher,Annual,3.49,4.35,4.1,4.37,6.3,3.26,"Falher, Alberta",55.7346878,-117.201276
Alberta,Faust,Annual,3.47,4.33,4.09,4.35,6.25,3.28,"Faust, Alberta",55.3172898,-115.6379002
Alberta,Fawcett,Annual,3.53,4.42,4.18,4.44,6.35,3.37,"Fawcett, Alberta",54.5454329,-114.1027702
Alberta,Ferintosh,Annual,3.68,4.65,4.42,4.66,6.64,3.52,"Ferintosh, Alberta",52.7649092,-112.9699509
Alberta,Foremost,Annual,3.78,4.96,4.72,4.96,7.08,3.82,"Foremost, Alberta",49.4770469,-111.445316
Alberta,Forestburg,Annual,3.73,4.72,4.48,4.72,6.75,3.56,"Forestburg, Alberta",52.583333,-112.0664866
Alberta,Fort Chipewyan,Annual,3.47,4.2,3.96,4.24,6.29,3.12,"Fort Chipewyan, Alberta",58.7166428,-111.1500187
Alberta,Fort Kent,Annual,3.62,4.53,4.3,4.54,6.58,3.43,"Fort Kent, Alberta",54.313056,-110.603889
Alberta,Fort MacKay,Annual,3.49,4.29,4.05,4.31,6.33,3.22,"Fort MacKay, Alberta",57.1825744,-111.6378436
Alberta,Fort Macleod,Annual,3.65,4.78,4.54,4.78,6.81,3.74,"Fort Macleod, Alberta",49.7267379,-113.4076000973896
Alberta,Fort McMurray,Annual,3.5,4.31,4.07,4.33,6.34,3.25,"Fort McMurray, Alberta",56.7291997,-111.3885221
Alberta,Fort Saskatchewan,Annual,3.62,4.55,4.32,4.56,6.52,3.45,"Fort Saskatchewan, Alberta",53.7128571,-113.2148942
Alberta,Fort Vermilion,Annual,3.49,4.25,4.0,4.28,6.3,3.12,"Fort Vermilion, Alberta",58.3893521,-116.013693
Alberta,Fox Creek,Annual,3.43,4.32,4.08,4.33,6.19,3.32,"Fox Creek, Alberta",54.4061853,-116.8004913
Alberta,Fox Lake,Annual,3.47,4.22,3.98,4.26,6.28,3.12,"Fox Lake, Alberta",51.66144745,-111.99107443082693
Alberta,Gadsby,Annual,3.73,4.73,4.5,4.73,6.75,3.57,"Gadsby, Alberta",52.2958822,-112.3552893
Alberta,Galahad,Annual,3.73,4.73,4.49,4.73,6.76,3.56,"Galahad, Alberta",52.516667,-111.916667
Alberta,Garden Creek,Annual,3.46,4.2,3.96,4.24,6.27,3.11,"Garden Creek, Alberta",58.7040951,-113.917156
Alberta,Gibbons,Annual,3.61,4.54,4.3,4.55,6.5,3.44,"Gibbons, Alberta",53.8179371,-113.32876763203112
Alberta,Gift Lake,Annual,3.48,4.33,4.09,4.35,6.28,3.26,"Gift Lake, Alberta",55.8831736,-115.8201776
Alberta,Girouxville,Annual,3.49,4.35,4.1,4.37,6.3,3.26,"Girouxville, Alberta",55.7544638,-117.3367287
Alberta,Gleichen,Annual,3.76,4.84,4.61,4.84,6.9,3.69,"Gleichen, Alberta",50.866694,-113.04988
Alberta,Glendon,Annual,3.61,4.52,4.29,4.53,6.55,3.43,"Glendon, Alberta",54.251111,-111.151389
Alberta,Glenwood,Annual,3.57,4.71,4.47,4.71,6.7,3.73,"Glenwood, Alberta",53.5364258,-113.602552
Alberta,Goodfish Lake,Annual,3.6,4.5,4.27,4.52,6.51,3.41,"Goodfish Lake, Alberta",54.2826121,-111.81738750699864
Alberta,Gordondale,Annual,3.48,4.31,4.07,4.33,6.2,3.19,"Gordondale, Alberta",55.8252451,-119.541547
Alberta,Grande Cache,Annual,3.33,4.23,3.99,4.26,6.04,3.29,"Grande Cache, Alberta",53.8888135,-119.1185658
Alberta,Grande Prairie,Annual,3.46,4.33,4.08,4.35,6.22,3.25,"Grande Prairie, Alberta",55.17108,-118.7949873
Alberta,Grandview,Annual,3.55,4.5,4.27,4.51,6.4,3.46,"Grandview, Alberta",52.99198,-114.058143
Alberta,Granum,Annual,3.65,4.78,4.54,4.78,6.8,3.73,"Granum, Alberta",49.8700558,-113.5091459
Alberta,Grassland,Annual,3.57,4.44,4.21,4.46,6.42,3.37,"Grassland, Alberta",54.820556,-112.685833
Alberta,Grassy Lake,Annual,3.8,4.96,4.72,4.96,7.08,3.8,"Grassy Lake, Alberta",49.8258502,-111.7004473
Alberta,Grimshaw,Annual,3.51,4.35,4.1,4.37,6.31,3.23,"Grimshaw, Alberta",56.1879236,-117.608275
Alberta,Grouard Mission,Annual,3.48,4.33,4.09,4.35,6.27,3.27,"Grouard Mission, Alberta",,
Alberta,Gunn,Annual,3.52,4.44,4.2,4.45,6.34,3.41,"Gunn, Alberta",53.7304052,-114.3478555
Alberta,Guy,Annual,3.48,4.34,4.09,4.36,6.28,3.27,"Guy, Alberta",55.5477898,-117.1203827
Alberta,Habay,Annual,3.5,4.22,3.98,4.25,6.21,3.04,"Habay, Alberta",58.8082219,-118.7181542
Alberta,Halkirk,Annual,3.74,4.74,4.51,4.74,6.77,3.57,"Halkirk, Alberta",52.2832118,-112.1537728
Alberta,Hanna,Annual,3.8,4.84,4.61,4.84,6.92,3.65,"Hanna, Alberta",51.6445566,-111.927479
Alberta,Hardisty,Annual,3.74,4.73,4.49,4.73,6.79,3.56,"Hardisty, Alberta",52.6696007,-111.3093794
Alberta,Hay Lakes,Annual,3.64,4.58,4.35,4.59,6.54,3.47,"Hay Lakes, Alberta",53.1972284,-113.0552191
Alberta,Hays,Annual,3.81,4.96,4.72,4.96,7.08,3.78,"Hays, Alberta",50.0971846,-111.7950069
Alberta,Heinsburg,Annual,3.66,4.6,4.37,4.61,6.66,3.48,"Heinsburg, Alberta",53.766667,-110.516667
Alberta,Heisler,Annual,3.72,4.7,4.47,4.7,6.72,3.54,"Heisler, Alberta",52.6712057,-112.2249124
Alberta,High Level,Annual,3.49,4.24,3.99,4.27,6.27,3.09,"High Level, Alberta",58.5115361,-117.1438756
Alberta,High Prairie,Annual,3.48,4.35,4.1,4.37,6.29,3.28,"High Prairie, Alberta",55.4358916,-116.4894792
Alberta,High River,Annual,3.66,4.74,4.5,4.73,6.73,3.67,"High River, Alberta",50.5801916,-113.8709332
Alberta,Hilda,Annual,3.83,4.97,4.73,4.96,7.11,3.76,"Hilda, Alberta",50.4806568,-110.0347773
Alberta,Hill Spring,Annual,3.53,4.67,4.43,4.67,6.64,3.71,"Hill Spring, Alberta",49.294435,-113.627736
Alberta,Hines Creek,Annual,3.51,4.34,4.09,4.36,6.28,3.2,"Hines Creek, Alberta",56.2479207,-118.5985033
Alberta,Hinton,Annual,3.35,4.28,4.03,4.3,6.1,3.36,"Hinton, Alberta",53.3990512,-117.5886772
Alberta,Holden,Annual,3.68,4.64,4.4,4.64,6.65,3.5,"Holden, Alberta",53.2331698,-112.23501
Alberta,Hughenden,Annual,3.73,4.73,4.5,4.73,6.79,3.56,"Hughenden, Alberta",52.510771,-110.9632552
Alberta,Hussar,Annual,3.78,4.86,4.62,4.85,6.92,3.68,"Hussar, Alberta",51.0408033,-112.6817174
Alberta,Hythe,Annual,3.45,4.3,4.05,4.32,6.16,3.22,"Hythe, Alberta",55.3301451,-119.5577417
Alberta,Innisfail,Annual,3.63,4.63,4.4,4.63,6.57,3.54,"Innisfail, Alberta",52.0274651,-113.9502354
Alberta,Innisfree,Annual,3.67,4.63,4.4,4.63,6.66,3.5,"Innisfree, Alberta",53.3803968,-111.530185
Alberta,Irma,Annual,3.71,4.69,4.46,4.7,6.75,3.54,"Irma, Alberta",52.917029,-111.2323198
Alberta,Irricana,Annual,3.72,4.77,4.54,4.76,6.78,3.64,"Irricana, Alberta",51.3200105,-113.603134
Alberta,Islay,Annual,3.69,4.65,4.42,4.66,6.72,3.51,"Islay, Alberta",53.3929398,-110.5449255
Alberta,Jarvie,Annual,3.54,4.43,4.2,4.45,6.36,3.37,"Jarvie, Alberta",54.4557634,-113.9869808
Alberta,Jasper,Annual,3.32,4.31,4.05,4.34,6.15,3.42,"Jasper, Alberta",52.8752336,-118.0824291
Alberta,Jenner,Annual,3.84,4.95,4.71,4.95,7.08,3.74,"Jenner, Alberta",50.7481727,-111.1831348
Alberta,Joffre,Annual,3.66,4.64,4.41,4.64,6.59,3.53,"Joffre, Alberta",52.3359455,-113.5370125
Alberta,John D'Or Prairie,Annual,3.48,4.23,3.98,4.26,6.28,3.12,"John D'Or Prairie, Alberta",58.4947708,-115.147652
Alberta,Joussard,Annual,3.48,4.33,4.1,4.35,6.26,3.28,"Joussard, Alberta",55.3978843,-115.9523374
Alberta,Kikino,Annual,3.59,4.49,4.25,4.5,6.48,3.4,"Kikino, Alberta",54.4448288,-112.0944082
Alberta,Killam,Annual,3.72,4.7,4.47,4.71,6.74,3.55,"Killam, Alberta",52.7929777,-111.8549407
Alberta,Kinsella,Annual,3.7,4.68,4.44,4.68,6.72,3.53,"Kinsella, Alberta",53.0001397,-111.5221581
Alberta,Kinuso,Annual,3.48,4.33,4.1,4.35,6.26,3.29,"Kinuso, Alberta",55.3290499,-115.431414
Alberta,Kitscoty,Annual,3.7,4.66,4.42,4.66,6.72,3.51,"Kitscoty, Alberta",53.3418434,-110.3327133
Alberta,La Cr̻te,Annual,3.49,4.26,4.01,4.29,6.3,3.13,"La Cr̻te, Alberta",,
Alberta,La Glace,Annual,3.47,4.32,4.08,4.34,6.21,3.23,"La Glace, Alberta",55.4029587,-119.154374
Alberta,Lac La Biche,Annual,3.57,4.45,4.22,4.47,6.45,3.38,"Lac La Biche, Alberta",55.2467859,-111.8354916
Alberta,Lacombe,Annual,3.64,4.62,4.39,4.62,6.56,3.52,"Lacombe, Alberta",52.4727515,-113.733215
Alberta,Lamont,Annual,3.63,4.55,4.32,4.56,6.53,3.45,"Lamont, Alberta",53.7834515,-112.4478142
Alberta,Langdon,Annual,3.71,4.77,4.54,4.77,6.79,3.66,"Langdon, Alberta",50.9744301,-113.6793646
Alberta,Leduc,Annual,3.6,4.54,4.31,4.55,6.48,3.46,"Leduc, Alberta",53.2607825,-113.5511681
Alberta,Legal,Annual,3.59,4.5,4.27,4.52,6.45,3.42,"Legal, Alberta",53.9487406,-113.5954265
Alberta,Leslieville,Annual,3.52,4.49,4.26,4.5,6.38,3.48,"Leslieville, Alberta",52.3827381,-114.603606
Alberta,Lethbridge,Annual,3.71,4.86,4.62,4.86,6.92,3.77,"Lethbridge, Alberta",49.6945782,-112.8331033
Alberta,Linden,Annual,3.72,4.76,4.52,4.75,6.77,3.62,"Linden, Alberta",51.591042,-113.489124
Alberta,Little Smoky,Annual,3.44,4.32,4.08,4.33,6.2,3.3,"Little Smoky, Alberta",54.7374748,-117.1776009
Alberta,Lloydminster,Annual,3.71,4.67,4.44,4.68,6.75,3.51,"Lloydminster, Alberta",53.279995,-110.00885
Alberta,Lodgepole,Annual,3.44,4.38,4.15,4.4,6.24,3.42,"Lodgepole, Alberta",53.0995652,-115.3170635
Alberta,Lomond,Annual,3.77,4.89,4.65,4.88,6.96,3.74,"Lomond, Alberta",50.3504389,-112.6414918
Alberta,Longview,Annual,3.56,4.62,4.39,4.62,6.56,3.62,"Longview, Alberta",50.532999,-114.230784
Alberta,Loon Lake,Annual,3.5,4.31,4.07,4.34,6.3,3.23,"Loon Lake, Alberta",59.6080034,-113.19724579195963
